title,address,website,phone,profiles
Chandra Orthopedic & Maternity Centre,"52X2+V6G, Mahatma Gandhi Rd, Bagh Muzzaffar Khan, Civil Lines, Agra, Uttar Pradesh 282002",http://chandraorthogynae.com/doctors.html,092191 94278,
Arogya Hospital,"5X6M+FC3, Jagnair Rd, Kheria Mode,Sabzi Mandi, Ajeet Nagar, Idgah Colony, Agra, Uttar Pradesh 282001",#,0562 240 0537,
National Hospital,"1st, Mathura Rd, near Kamayani Hospital, Shastripuram, Sikandra, Agra, Uttar Pradesh 282007",,,
Dev Hospital,"Krishna Enclave, 62, 100 Feet Rd, near krishna Garden, Kalindi Vihar, Agra, Uttar Pradesh 282006",#,098081 01301,
palwal hospital,"chowk minar gate road, Agra, Uttar Pradesh",,,
Shanti Mangalick Hospital,"5344+XCV, Fatehabad Rd, near Vishal Mega Mart, Tajganj, Basai, Uttar Pradesh 282001",http://www.shantimangalick.com/,070555 71117,<br/>https://in.linkedin.com/company/shanti-mangalick-hospital---india
Vishwani Hospital,"E-41, Kamla Nagar, near Petrol Pump, Professors Colony, Ghatwasan, Kamla Nagar, Agra, Uttar Pradesh 282004",#,0562 288 3949,
Ganpati hospital and Trama center,"Sallu ki puliya infront of infentary public school, jangeer road, Airport Area, Dhanauli, Agra, Uttar Pradesh 282001",#,080779 68705,
V. K. HOSPITAL,"HIG-10, Subhash Chauk,, Shaheed Nagar Rd, Tajganj, Agra, Uttar Pradesh 282001",,,
Life Care Hospital,"67-68, Gajanan Nagar, Kothi Meena Bazaar, Shahganj, Agra, Uttar Pradesh 282010",#,098972 57149,
Agarwal Critical Care Centre,"5XWW+VJ3, Delhi Gate Rd, Hariparwat, Professors Colony, Madhuvan Colony, Agra, Uttar Pradesh 208002",,,
Agra Medical & Cardiac Research Center,"178, Ajmer Rd, Pratap Pura, Rakabganj, Agra, Uttar Pradesh 282001",#,0562 242 1258,
Dr. Gargi Nursing Home,"Umang Marriage Home, 71-A Rishi Marg, Bodla Rd, Opposite, Pandav Nagar, Shivaji Nagar, Agra, Uttar Pradesh 282010",#,094564 60546,
Dr. Nawal Kishore Hospital ( Unit Of Munshilal Healthcare Pvt. Ltd. ),"1/193 A, Bagh Farzana Rd, Professors Colony, Civil Lines, Agra, Uttar Pradesh 282002",,,<br/>https://www.facebook.com/drnawalkishorehospital/
SHAILJEET HOSPITAL MULTISPECIALITY AND CRITICAL CARE CENTRE,"67/1, jagner road, Naripura, Agra, Uttar Pradesh 282001",#,074175 78999,
Prasad Hospital,"1/210 A, 67, Delhi Gate Rd, opposite Big Bazaar, Hariparwat, Professors Colony, Civil Lines, Agra, Uttar Pradesh 282002",https://prasadhealthcare.com/,0562 252 0111,
WISDOM HOSPITAL,"143, Khatehna, Jaipur House Colony, Agra, Uttar Pradesh 282001",http://www.drkushalsingh.com/,,
